ListID,Treatment,IsTestData,IsReplacement,RandomizationSequence,ReplacementPatientID,CenterID,TreatmentID,Block,Cohort
1,Placebo,1,0,110,0,1,6,1,1
1,PT00114,1,0,111,0,1,1,1,1
1,PT00114,1,0,112,0,1,1,1,1
1,PT00114,1,0,113,0,1,1,1,1
1,PT00114,1,0,114,0,1,1,1,1
1,Placebo,1,0,115,0,1,6,1,1
1,PT00114,1,0,120,0,1,1,2,1
1,PT00114,1,0,121,0,1,1,2,1
1,PT00114,1,0,122,0,1,1,2,1
1,Placebo,1,0,123,0,1,6,2,1
1,PT00114,1,0,124,0,1,1,2,1
1,Placebo,1,0,125,0,1,6,2,1
1,Placebo,1,0,230,0,1,6,3,2
1,PT00114,1,0,231,0,1,2,3,2
1,PT00114,1,0,232,0,1,2,3,2
1,Placebo,1,0,233,0,1,6,3,2
1,PT00114,1,0,234,0,1,2,3,2
1,PT00114,1,0,235,0,1,2,3,2
1,PT00114,1,0,240,0,1,2,4,2
1,PT00114,1,0,241,0,1,2,4,2
1,Placebo,1,0,242,0,1,6,4,2
1,Placebo,1,0,243,0,1,6,4,2
1,PT00114,1,0,244,0,1,2,4,2
1,PT00114,1,0,245,0,1,2,4,2
1,PT00114,1,0,350,0,1,3,5,3
1,PT00114,1,0,351,0,1,3,5,3
1,Placebo,1,0,352,0,1,6,5,3
1,Placebo,1,0,353,0,1,6,5,3
1,PT00114,1,0,354,0,1,3,5,3
1,PT00114,1,0,355,0,1,3,5,3
1,Placebo,1,0,360,0,1,6,6,3
1,PT00114,1,0,361,0,1,3,6,3
1,PT00114,1,0,362,0,1,3,6,3
1,PT00114,1,0,363,0,1,3,6,3
1,Placebo,1,0,364,0,1,6,6,3
1,PT00114,1,0,365,0,1,3,6,3
1,Placebo,1,0,470,0,1,6,7,4
1,PT00114,1,0,471,0,1,4,7,4
1,PT00114,1,0,472,0,1,4,7,4
1,PT00114,1,0,473,0,1,4,7,4
1,Placebo,1,0,474,0,1,6,7,4
1,PT00114,1,0,475,0,1,4,7,4
1,PT00114,1,0,480,0,1,4,8,4
